initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 77, G_loss: 0.42143, step_psnr: 5.12220, strokes: 100 / 500
iteration step 78, G_loss: 0.41506, step_psnr: 5.20598, strokes: 100 / 500
iteration step 79, G_loss: 0.40900, step_psnr: 5.28927, strokes: 100 / 500
iteration step 80, G_loss: 0.40312, step_psnr: 5.37072, strokes: 100 / 500
iteration step 81, G_loss: 0.39736, step_psnr: 5.45096, strokes: 100 / 500
iteration step 82, G_loss: 0.39177, step_psnr: 5.53098, strokes: 100 / 500
iteration step 83, G_loss: 0.38631, step_psnr: 5.60691, strokes: 100 / 500
iteration step 84, G_loss: 0.38120, step_psnr: 5.67618, strokes: 100 / 500
iteration step 85, G_loss: 0.37649, step_psnr: 5.75183, strokes: 100 / 500
iteration step 86, G_loss: 0.37154, step_psnr: 5.83456, strokes: 100 / 500
iteration step 87, G_loss: 0.36640, step_psnr: 5.91284, strokes: 100 / 500
iteration step 88, G_loss: 0.36138, step_psnr: 5.99199, strokes: 100 / 500
iteration step 89, G_loss: 0.35646, step_psnr: 6.06805, strokes: 100 / 500
iteration step 90, G_loss: 0.35173, step_psnr: 6.14733, strokes: 100 / 500
iteration step 91, G_loss: 0.34698, step_psnr: 6.22169, strokes: 100 / 500
iteration step 92, G_loss: 0.34263, step_psnr: 6.29670, strokes: 100 / 500
iteration step 93, G_loss: 0.33818, step_psnr: 6.37683, strokes: 100 / 500
iteration step 94, G_loss: 0.33367, step_psnr: 6.45732, strokes: 100 / 500
iteration step 95, G_loss: 0.32914, step_psnr: 6.53359, strokes: 100 / 500
iteration step 96, G_loss: 0.32486, step_psnr: 6.61078, strokes: 100 / 500
iteration step 97, G_loss: 0.32067, step_psnr: 6.68731, strokes: 100 / 500
iteration step 98, G_loss: 0.31649, step_psnr: 6.76263, strokes: 100 / 500
iteration step 99, G_loss: 0.31253, step_psnr: 6.83306, strokes: 100 / 500
iteration step 100, G_loss: 0.30871, step_psnr: 7.09377, strokes: 125 / 500
iteration step 101, G_loss: 0.29656, step_psnr: 7.22650, strokes: 125 / 500
iteration step 102, G_loss: 0.29017, step_psnr: 7.34994, strokes: 125 / 500
iteration step 103, G_loss: 0.28442, step_psnr: 7.46912, strokes: 125 / 500
iteration step 104, G_loss: 0.27897, step_psnr: 7.58894, strokes: 125 / 500
iteration step 105, G_loss: 0.27373, step_psnr: 7.69828, strokes: 125 / 500
iteration step 106, G_loss: 0.26873, step_psnr: 7.80985, strokes: 125 / 500
iteration step 107, G_loss: 0.26402, step_psnr: 7.91211, strokes: 125 / 500
iteration step 108, G_loss: 0.25958, step_psnr: 8.01795, strokes: 125 / 500
iteration step 109, G_loss: 0.25530, step_psnr: 8.11898, strokes: 125 / 500
iteration step 110, G_loss: 0.25110, step_psnr: 8.22215, strokes: 125 / 500
iteration step 111, G_loss: 0.24704, step_psnr: 8.32233, strokes: 125 / 500
iteration step 112, G_loss: 0.24318, step_psnr: 8.42089, strokes: 125 / 500
iteration step 113, G_loss: 0.23939, step_psnr: 8.52262, strokes: 125 / 500
iteration step 114, G_loss: 0.23554, step_psnr: 8.61971, strokes: 125 / 500
iteration step 115, G_loss: 0.23191, step_psnr: 8.71991, strokes: 125 / 500
iteration step 116, G_loss: 0.22824, step_psnr: 8.82022, strokes: 125 / 500
iteration step 117, G_loss: 0.22475, step_psnr: 8.91879, strokes: 125 / 500
iteration step 118, G_loss: 0.22129, step_psnr: 9.02137, strokes: 125 / 500
iteration step 119, G_loss: 0.21783, step_psnr: 9.12601, strokes: 125 / 500
iteration step 120, G_loss: 0.21443, step_psnr: 9.22111, strokes: 125 / 500
iteration step 121, G_loss: 0.21128, step_psnr: 9.31326, strokes: 125 / 500
iteration step 122, G_loss: 0.20834, step_psnr: 9.40457, strokes: 125 / 500
iteration step 123, G_loss: 0.20537, step_psnr: 9.49933, strokes: 125 / 500
iteration step 124, G_loss: 0.20251, step_psnr: 9.59341, strokes: 125 / 500
iteration step 125, G_loss: 0.19970, step_psnr: 9.98216, strokes: 150 / 500
iteration step 126, G_loss: 0.18942, step_psnr: 10.15690, strokes: 150 / 500
iteration step 127, G_loss: 0.18459, step_psnr: 10.33317, strokes: 150 / 500
iteration step 128, G_loss: 0.18012, step_psnr: 10.49400, strokes: 150 / 500
iteration step 129, G_loss: 0.17609, step_psnr: 10.63907, strokes: 150 / 500
iteration step 130, G_loss: 0.17244, step_psnr: 10.78392, strokes: 150 / 500
iteration step 131, G_loss: 0.16901, step_psnr: 10.92315, strokes: 150 / 500
iteration step 132, G_loss: 0.16575, step_psnr: 11.06242, strokes: 150 / 500
iteration step 133, G_loss: 0.16261, step_psnr: 11.19995, strokes: 150 / 500
iteration step 134, G_loss: 0.15956, step_psnr: 11.33129, strokes: 150 / 500
iteration step 135, G_loss: 0.15668, step_psnr: 11.45988, strokes: 150 / 500
iteration step 136, G_loss: 0.15394, step_psnr: 11.59105, strokes: 150 / 500
iteration step 137, G_loss: 0.15128, step_psnr: 11.72367, strokes: 150 / 500
iteration step 138, G_loss: 0.14868, step_psnr: 11.85558, strokes: 150 / 500
iteration step 139, G_loss: 0.14614, step_psnr: 11.97712, strokes: 150 / 500
iteration step 140, G_loss: 0.14369, step_psnr: 12.10151, strokes: 150 / 500
iteration step 141, G_loss: 0.14135, step_psnr: 12.21709, strokes: 150 / 500
iteration step 142, G_loss: 0.13922, step_psnr: 12.33512, strokes: 150 / 500
iteration step 143, G_loss: 0.13713, step_psnr: 12.45704, strokes: 150 / 500
iteration step 144, G_loss: 0.13502, step_psnr: 12.58040, strokes: 150 / 500
iteration step 145, G_loss: 0.13299, step_psnr: 12.69786, strokes: 150 / 500
iteration step 146, G_loss: 0.13101, step_psnr: 12.81548, strokes: 150 / 500
iteration step 147, G_loss: 0.12913, step_psnr: 12.92511, strokes: 150 / 500
iteration step 148, G_loss: 0.12733, step_psnr: 13.03613, strokes: 150 / 500
iteration step 149, G_loss: 0.12562, step_psnr: 13.14208, strokes: 150 / 500
iteration step 150, G_loss: 0.12395, step_psnr: 13.52943, strokes: 175 / 500
iteration step 151, G_loss: 0.11836, step_psnr: 13.71965, strokes: 175 / 500
iteration step 152, G_loss: 0.11551, step_psnr: 13.88850, strokes: 175 / 500
iteration step 153, G_loss: 0.11312, step_psnr: 14.04011, strokes: 175 / 500
iteration step 154, G_loss: 0.11104, step_psnr: 14.19223, strokes: 175 / 500
iteration step 155, G_loss: 0.10904, step_psnr: 14.33361, strokes: 175 / 500
iteration step 156, G_loss: 0.10722, step_psnr: 14.47476, strokes: 175 / 500
iteration step 157, G_loss: 0.10550, step_psnr: 14.61340, strokes: 175 / 500
iteration step 158, G_loss: 0.10384, step_psnr: 14.74771, strokes: 175 / 500
iteration step 159, G_loss: 0.10228, step_psnr: 14.87494, strokes: 175 / 500
iteration step 160, G_loss: 0.10083, step_psnr: 14.99474, strokes: 175 / 500
iteration step 161, G_loss: 0.09947, step_psnr: 15.10301, strokes: 175 / 500
iteration step 162, G_loss: 0.09821, step_psnr: 15.20776, strokes: 175 / 500
iteration step 163, G_loss: 0.09704, step_psnr: 15.30757, strokes: 175 / 500
iteration step 164, G_loss: 0.09596, step_psnr: 15.41093, strokes: 175 / 500
iteration step 165, G_loss: 0.09489, step_psnr: 15.50706, strokes: 175 / 500
iteration step 166, G_loss: 0.09386, step_psnr: 15.60726, strokes: 175 / 500
iteration step 167, G_loss: 0.09285, step_psnr: 15.70215, strokes: 175 / 500
iteration step 168, G_loss: 0.09191, step_psnr: 15.79221, strokes: 175 / 500
iteration step 169, G_loss: 0.09101, step_psnr: 15.87899, strokes: 175 / 500
iteration step 170, G_loss: 0.09016, step_psnr: 15.96627, strokes: 175 / 500
iteration step 171, G_loss: 0.08933, step_psnr: 16.05326, strokes: 175 / 500
iteration step 172, G_loss: 0.08851, step_psnr: 16.13385, strokes: 175 / 500
iteration step 173, G_loss: 0.08775, step_psnr: 16.22166, strokes: 175 / 500
iteration step 174, G_loss: 0.08697, step_psnr: 16.30404, strokes: 175 / 500
iteration step 175, G_loss: 0.08625, step_psnr: 16.69226, strokes: 200 / 500
iteration step 176, G_loss: 0.08334, step_psnr: 16.87274, strokes: 200 / 500
iteration step 177, G_loss: 0.08185, step_psnr: 17.02752, strokes: 200 / 500
iteration step 178, G_loss: 0.08052, step_psnr: 17.17047, strokes: 200 / 500
iteration step 179, G_loss: 0.07945, step_psnr: 17.28963, strokes: 200 / 500
iteration step 180, G_loss: 0.07849, step_psnr: 17.40071, strokes: 200 / 500
iteration step 181, G_loss: 0.07768, step_psnr: 17.50490, strokes: 200 / 500
iteration step 182, G_loss: 0.07683, step_psnr: 17.60490, strokes: 200 / 500
iteration step 183, G_loss: 0.07607, step_psnr: 17.69547, strokes: 200 / 500
iteration step 184, G_loss: 0.07537, step_psnr: 17.78408, strokes: 200 / 500
iteration step 185, G_loss: 0.07470, step_psnr: 17.85959, strokes: 200 / 500
iteration step 186, G_loss: 0.07410, step_psnr: 17.94075, strokes: 200 / 500
iteration step 187, G_loss: 0.07351, step_psnr: 18.01119, strokes: 200 / 500
iteration step 188, G_loss: 0.07297, step_psnr: 18.08457, strokes: 200 / 500
iteration step 189, G_loss: 0.07243, step_psnr: 18.16087, strokes: 200 / 500
iteration step 190, G_loss: 0.07188, step_psnr: 18.22979, strokes: 200 / 500
iteration step 191, G_loss: 0.07137, step_psnr: 18.29792, strokes: 200 / 500
iteration step 192, G_loss: 0.07088, step_psnr: 18.36103, strokes: 200 / 500
iteration step 193, G_loss: 0.07043, step_psnr: 18.42178, strokes: 200 / 500
iteration step 194, G_loss: 0.06996, step_psnr: 18.48337, strokes: 200 / 500
iteration step 195, G_loss: 0.06952, step_psnr: 18.53676, strokes: 200 / 500
iteration step 196, G_loss: 0.06909, step_psnr: 18.59523, strokes: 200 / 500
iteration step 197, G_loss: 0.06871, step_psnr: 18.64797, strokes: 200 / 500
iteration step 198, G_loss: 0.06830, step_psnr: 18.69984, strokes: 200 / 500
iteration step 199, G_loss: 0.06793, step_psnr: 18.74398, strokes: 200 / 500
iteration step 200, G_loss: 0.06760, step_psnr: 18.87409, strokes: 225 / 500
iteration step 201, G_loss: 0.06687, step_psnr: 19.00956, strokes: 225 / 500
iteration step 202, G_loss: 0.06598, step_psnr: 19.12626, strokes: 225 / 500
iteration step 203, G_loss: 0.06524, step_psnr: 19.21138, strokes: 225 / 500
iteration step 204, G_loss: 0.06463, step_psnr: 19.30297, strokes: 225 / 500
iteration step 205, G_loss: 0.06406, step_psnr: 19.37745, strokes: 225 / 500
iteration step 206, G_loss: 0.06353, step_psnr: 19.45259, strokes: 225 / 500
iteration step 207, G_loss: 0.06307, step_psnr: 19.52268, strokes: 225 / 500
iteration step 208, G_loss: 0.06261, step_psnr: 19.58628, strokes: 225 / 500
iteration step 209, G_loss: 0.06222, step_psnr: 19.64041, strokes: 225 / 500
iteration step 210, G_loss: 0.06186, step_psnr: 19.68647, strokes: 225 / 500
iteration step 211, G_loss: 0.06156, step_psnr: 19.74412, strokes: 225 / 500
iteration step 212, G_loss: 0.06119, step_psnr: 19.80244, strokes: 225 / 500
iteration step 213, G_loss: 0.06084, step_psnr: 19.84882, strokes: 225 / 500
iteration step 214, G_loss: 0.06051, step_psnr: 19.89744, strokes: 225 / 500
iteration step 215, G_loss: 0.06022, step_psnr: 19.94443, strokes: 225 / 500
iteration step 216, G_loss: 0.05993, step_psnr: 19.99290, strokes: 225 / 500
iteration step 217, G_loss: 0.05965, step_psnr: 20.03146, strokes: 225 / 500
iteration step 218, G_loss: 0.05938, step_psnr: 20.08040, strokes: 225 / 500
iteration step 219, G_loss: 0.05913, step_psnr: 20.12757, strokes: 225 / 500
iteration step 220, G_loss: 0.05883, step_psnr: 20.16969, strokes: 225 / 500
iteration step 221, G_loss: 0.05859, step_psnr: 20.20650, strokes: 225 / 500
iteration step 222, G_loss: 0.05836, step_psnr: 20.24557, strokes: 225 / 500
iteration step 223, G_loss: 0.05813, step_psnr: 20.28028, strokes: 225 / 500
iteration step 224, G_loss: 0.05791, step_psnr: 20.31298, strokes: 225 / 500
iteration step 225, G_loss: 0.05771, step_psnr: 20.45132, strokes: 250 / 500
iteration step 226, G_loss: 0.05714, step_psnr: 20.58397, strokes: 250 / 500
iteration step 227, G_loss: 0.05644, step_psnr: 20.68481, strokes: 250 / 500
iteration step 228, G_loss: 0.05594, step_psnr: 20.76170, strokes: 250 / 500
iteration step 229, G_loss: 0.05554, step_psnr: 20.82935, strokes: 250 / 500
iteration step 230, G_loss: 0.05518, step_psnr: 20.88873, strokes: 250 / 500
iteration step 231, G_loss: 0.05487, step_psnr: 20.95254, strokes: 250 / 500
iteration step 232, G_loss: 0.05457, step_psnr: 21.01557, strokes: 250 / 500
iteration step 233, G_loss: 0.05428, step_psnr: 21.06445, strokes: 250 / 500
iteration step 234, G_loss: 0.05401, step_psnr: 21.10748, strokes: 250 / 500
iteration step 235, G_loss: 0.05379, step_psnr: 21.13790, strokes: 250 / 500
iteration step 236, G_loss: 0.05359, step_psnr: 21.16737, strokes: 250 / 500
iteration step 237, G_loss: 0.05343, step_psnr: 21.19668, strokes: 250 / 500
iteration step 238, G_loss: 0.05324, step_psnr: 21.22959, strokes: 250 / 500
iteration step 239, G_loss: 0.05309, step_psnr: 21.25969, strokes: 250 / 500
iteration step 240, G_loss: 0.05291, step_psnr: 21.28867, strokes: 250 / 500
iteration step 241, G_loss: 0.05277, step_psnr: 21.31928, strokes: 250 / 500
iteration step 242, G_loss: 0.05260, step_psnr: 21.35261, strokes: 250 / 500
iteration step 243, G_loss: 0.05244, step_psnr: 21.37580, strokes: 250 / 500
iteration step 244, G_loss: 0.05230, step_psnr: 21.40401, strokes: 250 / 500
iteration step 245, G_loss: 0.05218, step_psnr: 21.43136, strokes: 250 / 500
iteration step 246, G_loss: 0.05203, step_psnr: 21.45423, strokes: 250 / 500
iteration step 247, G_loss: 0.05192, step_psnr: 21.47930, strokes: 250 / 500
iteration step 248, G_loss: 0.05177, step_psnr: 21.49740, strokes: 250 / 500
iteration step 249, G_loss: 0.05167, step_psnr: 21.52192, strokes: 250 / 500
iteration step 250, G_loss: 0.05154, step_psnr: 21.31832, strokes: 275 / 500
iteration step 251, G_loss: 0.05205, step_psnr: 21.44867, strokes: 275 / 500
iteration step 252, G_loss: 0.05154, step_psnr: 21.53037, strokes: 275 / 500
iteration step 253, G_loss: 0.05121, step_psnr: 21.58884, strokes: 275 / 500
iteration step 254, G_loss: 0.05094, step_psnr: 21.63984, strokes: 275 / 500
iteration step 255, G_loss: 0.05073, step_psnr: 21.67753, strokes: 275 / 500
