initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 77, G_loss: 0.37505, step_psnr: 6.14217, strokes: 100 / 500
iteration step 78, G_loss: 0.36920, step_psnr: 6.22704, strokes: 100 / 500
iteration step 79, G_loss: 0.36376, step_psnr: 6.30770, strokes: 100 / 500
iteration step 80, G_loss: 0.35869, step_psnr: 6.38534, strokes: 100 / 500
iteration step 81, G_loss: 0.35387, step_psnr: 6.46059, strokes: 100 / 500
iteration step 82, G_loss: 0.34928, step_psnr: 6.53573, strokes: 100 / 500
iteration step 83, G_loss: 0.34479, step_psnr: 6.61171, strokes: 100 / 500
iteration step 84, G_loss: 0.34037, step_psnr: 6.68300, strokes: 100 / 500
iteration step 85, G_loss: 0.33620, step_psnr: 6.75770, strokes: 100 / 500
iteration step 86, G_loss: 0.33196, step_psnr: 6.82953, strokes: 100 / 500
iteration step 87, G_loss: 0.32788, step_psnr: 6.90265, strokes: 100 / 500
iteration step 88, G_loss: 0.32381, step_psnr: 6.97378, strokes: 100 / 500
iteration step 89, G_loss: 0.31988, step_psnr: 7.04895, strokes: 100 / 500
iteration step 90, G_loss: 0.31584, step_psnr: 7.12152, strokes: 100 / 500
iteration step 91, G_loss: 0.31198, step_psnr: 7.19541, strokes: 100 / 500
iteration step 92, G_loss: 0.30808, step_psnr: 7.26437, strokes: 100 / 500
iteration step 93, G_loss: 0.30458, step_psnr: 7.33454, strokes: 100 / 500
iteration step 94, G_loss: 0.30096, step_psnr: 7.40648, strokes: 100 / 500
iteration step 95, G_loss: 0.29737, step_psnr: 7.47822, strokes: 100 / 500
iteration step 96, G_loss: 0.29379, step_psnr: 7.55041, strokes: 100 / 500
iteration step 97, G_loss: 0.29030, step_psnr: 7.62249, strokes: 100 / 500
iteration step 98, G_loss: 0.28681, step_psnr: 7.69336, strokes: 100 / 500
iteration step 99, G_loss: 0.28344, step_psnr: 7.76710, strokes: 100 / 500
iteration step 100, G_loss: 0.28004, step_psnr: 8.00443, strokes: 125 / 500
iteration step 101, G_loss: 0.27004, step_psnr: 8.13383, strokes: 125 / 500
iteration step 102, G_loss: 0.26452, step_psnr: 8.25880, strokes: 125 / 500
iteration step 103, G_loss: 0.25947, step_psnr: 8.37295, strokes: 125 / 500
iteration step 104, G_loss: 0.25491, step_psnr: 8.48674, strokes: 125 / 500
iteration step 105, G_loss: 0.25040, step_psnr: 8.59483, strokes: 125 / 500
iteration step 106, G_loss: 0.24619, step_psnr: 8.69571, strokes: 125 / 500
iteration step 107, G_loss: 0.24230, step_psnr: 8.79019, strokes: 125 / 500
iteration step 108, G_loss: 0.23872, step_psnr: 8.87988, strokes: 125 / 500
iteration step 109, G_loss: 0.23535, step_psnr: 8.97322, strokes: 125 / 500
iteration step 110, G_loss: 0.23204, step_psnr: 9.06402, strokes: 125 / 500
iteration step 111, G_loss: 0.22877, step_psnr: 9.15049, strokes: 125 / 500
iteration step 112, G_loss: 0.22578, step_psnr: 9.23864, strokes: 125 / 500
iteration step 113, G_loss: 0.22271, step_psnr: 9.32504, strokes: 125 / 500
iteration step 114, G_loss: 0.21982, step_psnr: 9.41179, strokes: 125 / 500
iteration step 115, G_loss: 0.21693, step_psnr: 9.49569, strokes: 125 / 500
iteration step 116, G_loss: 0.21422, step_psnr: 9.57756, strokes: 125 / 500
iteration step 117, G_loss: 0.21159, step_psnr: 9.65813, strokes: 125 / 500
iteration step 118, G_loss: 0.20902, step_psnr: 9.73859, strokes: 125 / 500
iteration step 119, G_loss: 0.20654, step_psnr: 9.82183, strokes: 125 / 500
iteration step 120, G_loss: 0.20405, step_psnr: 9.90548, strokes: 125 / 500
iteration step 121, G_loss: 0.20160, step_psnr: 9.99313, strokes: 125 / 500
iteration step 122, G_loss: 0.19912, step_psnr: 10.07315, strokes: 125 / 500
iteration step 123, G_loss: 0.19680, step_psnr: 10.15217, strokes: 125 / 500
iteration step 124, G_loss: 0.19454, step_psnr: 10.23030, strokes: 125 / 500
iteration step 125, G_loss: 0.19247, step_psnr: 10.54696, strokes: 150 / 500
iteration step 126, G_loss: 0.18475, step_psnr: 10.71208, strokes: 150 / 500
iteration step 127, G_loss: 0.18080, step_psnr: 10.86142, strokes: 150 / 500
iteration step 128, G_loss: 0.17724, step_psnr: 10.99730, strokes: 150 / 500
iteration step 129, G_loss: 0.17412, step_psnr: 11.11732, strokes: 150 / 500
iteration step 130, G_loss: 0.17124, step_psnr: 11.24203, strokes: 150 / 500
iteration step 131, G_loss: 0.16852, step_psnr: 11.36163, strokes: 150 / 500
iteration step 132, G_loss: 0.16590, step_psnr: 11.48053, strokes: 150 / 500
iteration step 133, G_loss: 0.16336, step_psnr: 11.58996, strokes: 150 / 500
iteration step 134, G_loss: 0.16102, step_psnr: 11.70084, strokes: 150 / 500
iteration step 135, G_loss: 0.15873, step_psnr: 11.81213, strokes: 150 / 500
iteration step 136, G_loss: 0.15647, step_psnr: 11.92448, strokes: 150 / 500
iteration step 137, G_loss: 0.15428, step_psnr: 12.03018, strokes: 150 / 500
iteration step 138, G_loss: 0.15222, step_psnr: 12.13267, strokes: 150 / 500
iteration step 139, G_loss: 0.15032, step_psnr: 12.23906, strokes: 150 / 500
iteration step 140, G_loss: 0.14842, step_psnr: 12.34674, strokes: 150 / 500
iteration step 141, G_loss: 0.14653, step_psnr: 12.45527, strokes: 150 / 500
iteration step 142, G_loss: 0.14467, step_psnr: 12.55818, strokes: 150 / 500
iteration step 143, G_loss: 0.14291, step_psnr: 12.66695, strokes: 150 / 500
iteration step 144, G_loss: 0.14118, step_psnr: 12.77417, strokes: 150 / 500
iteration step 145, G_loss: 0.13948, step_psnr: 12.87828, strokes: 150 / 500
iteration step 146, G_loss: 0.13786, step_psnr: 12.97855, strokes: 150 / 500
iteration step 147, G_loss: 0.13632, step_psnr: 13.08009, strokes: 150 / 500
iteration step 148, G_loss: 0.13478, step_psnr: 13.17947, strokes: 150 / 500
iteration step 149, G_loss: 0.13332, step_psnr: 13.27392, strokes: 150 / 500
iteration step 150, G_loss: 0.13187, step_psnr: 13.70470, strokes: 175 / 500
iteration step 151, G_loss: 0.12668, step_psnr: 13.90699, strokes: 175 / 500
iteration step 152, G_loss: 0.12402, step_psnr: 14.06267, strokes: 175 / 500
iteration step 153, G_loss: 0.12191, step_psnr: 14.21514, strokes: 175 / 500
iteration step 154, G_loss: 0.12009, step_psnr: 14.35632, strokes: 175 / 500
iteration step 155, G_loss: 0.11842, step_psnr: 14.47860, strokes: 175 / 500
iteration step 156, G_loss: 0.11694, step_psnr: 14.59838, strokes: 175 / 500
iteration step 157, G_loss: 0.11556, step_psnr: 14.70831, strokes: 175 / 500
iteration step 158, G_loss: 0.11429, step_psnr: 14.82125, strokes: 175 / 500
iteration step 159, G_loss: 0.11306, step_psnr: 14.91303, strokes: 175 / 500
iteration step 160, G_loss: 0.11198, step_psnr: 15.00892, strokes: 175 / 500
iteration step 161, G_loss: 0.11093, step_psnr: 15.10259, strokes: 175 / 500
iteration step 162, G_loss: 0.10994, step_psnr: 15.18788, strokes: 175 / 500
iteration step 163, G_loss: 0.10898, step_psnr: 15.27832, strokes: 175 / 500
iteration step 164, G_loss: 0.10807, step_psnr: 15.36700, strokes: 175 / 500
iteration step 165, G_loss: 0.10716, step_psnr: 15.45608, strokes: 175 / 500
iteration step 166, G_loss: 0.10625, step_psnr: 15.54334, strokes: 175 / 500
iteration step 167, G_loss: 0.10535, step_psnr: 15.63286, strokes: 175 / 500
iteration step 168, G_loss: 0.10450, step_psnr: 15.71622, strokes: 175 / 500
iteration step 169, G_loss: 0.10369, step_psnr: 15.80209, strokes: 175 / 500
iteration step 170, G_loss: 0.10290, step_psnr: 15.87428, strokes: 175 / 500
iteration step 171, G_loss: 0.10218, step_psnr: 15.94110, strokes: 175 / 500
iteration step 172, G_loss: 0.10153, step_psnr: 16.00231, strokes: 175 / 500
iteration step 173, G_loss: 0.10092, step_psnr: 16.06882, strokes: 175 / 500
iteration step 174, G_loss: 0.10030, step_psnr: 16.13296, strokes: 175 / 500
iteration step 175, G_loss: 0.09972, step_psnr: 16.50125, strokes: 200 / 500
iteration step 176, G_loss: 0.09713, step_psnr: 16.66655, strokes: 200 / 500
iteration step 177, G_loss: 0.09577, step_psnr: 16.81142, strokes: 200 / 500
iteration step 178, G_loss: 0.09459, step_psnr: 16.93954, strokes: 200 / 500
iteration step 179, G_loss: 0.09355, step_psnr: 17.04672, strokes: 200 / 500
iteration step 180, G_loss: 0.09269, step_psnr: 17.12505, strokes: 200 / 500
iteration step 181, G_loss: 0.09201, step_psnr: 17.19855, strokes: 200 / 500
