initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 77, G_loss: 0.42413, step_psnr: 5.14150, strokes: 100 / 500
iteration step 78, G_loss: 0.41781, step_psnr: 5.22225, strokes: 100 / 500
iteration step 79, G_loss: 0.41177, step_psnr: 5.29946, strokes: 100 / 500
iteration step 80, G_loss: 0.40600, step_psnr: 5.37514, strokes: 100 / 500
iteration step 81, G_loss: 0.40050, step_psnr: 5.44997, strokes: 100 / 500
iteration step 82, G_loss: 0.39510, step_psnr: 5.52156, strokes: 100 / 500
iteration step 83, G_loss: 0.38997, step_psnr: 5.59422, strokes: 100 / 500
iteration step 84, G_loss: 0.38482, step_psnr: 5.66606, strokes: 100 / 500
iteration step 85, G_loss: 0.37980, step_psnr: 5.73829, strokes: 100 / 500
iteration step 86, G_loss: 0.37492, step_psnr: 5.80760, strokes: 100 / 500
iteration step 87, G_loss: 0.37018, step_psnr: 5.87809, strokes: 100 / 500
iteration step 88, G_loss: 0.36552, step_psnr: 5.95091, strokes: 100 / 500
iteration step 89, G_loss: 0.36077, step_psnr: 6.02474, strokes: 100 / 500
iteration step 90, G_loss: 0.35610, step_psnr: 6.09415, strokes: 100 / 500
iteration step 91, G_loss: 0.35164, step_psnr: 6.16973, strokes: 100 / 500
iteration step 92, G_loss: 0.34702, step_psnr: 6.24241, strokes: 100 / 500
iteration step 93, G_loss: 0.34246, step_psnr: 6.31652, strokes: 100 / 500
iteration step 94, G_loss: 0.33802, step_psnr: 6.38804, strokes: 100 / 500
iteration step 95, G_loss: 0.33363, step_psnr: 6.46197, strokes: 100 / 500
iteration step 96, G_loss: 0.32940, step_psnr: 6.53215, strokes: 100 / 500
iteration step 97, G_loss: 0.32530, step_psnr: 6.60519, strokes: 100 / 500
iteration step 98, G_loss: 0.32125, step_psnr: 6.68122, strokes: 100 / 500
iteration step 99, G_loss: 0.31707, step_psnr: 6.75635, strokes: 100 / 500
iteration step 100, G_loss: 0.31298, step_psnr: 7.00671, strokes: 125 / 500
iteration step 101, G_loss: 0.30076, step_psnr: 7.14605, strokes: 125 / 500
iteration step 102, G_loss: 0.29384, step_psnr: 7.27406, strokes: 125 / 500
iteration step 103, G_loss: 0.28772, step_psnr: 7.39795, strokes: 125 / 500
iteration step 104, G_loss: 0.28195, step_psnr: 7.51164, strokes: 125 / 500
iteration step 105, G_loss: 0.27664, step_psnr: 7.62005, strokes: 125 / 500
iteration step 106, G_loss: 0.27174, step_psnr: 7.72785, strokes: 125 / 500
iteration step 107, G_loss: 0.26685, step_psnr: 7.84039, strokes: 125 / 500
iteration step 108, G_loss: 0.26210, step_psnr: 7.94754, strokes: 125 / 500
iteration step 109, G_loss: 0.25758, step_psnr: 8.05344, strokes: 125 / 500
iteration step 110, G_loss: 0.25318, step_psnr: 8.16079, strokes: 125 / 500
iteration step 111, G_loss: 0.24892, step_psnr: 8.27090, strokes: 125 / 500
iteration step 112, G_loss: 0.24458, step_psnr: 8.37348, strokes: 125 / 500
iteration step 113, G_loss: 0.24050, step_psnr: 8.47587, strokes: 125 / 500
iteration step 114, G_loss: 0.23662, step_psnr: 8.58035, strokes: 125 / 500
iteration step 115, G_loss: 0.23276, step_psnr: 8.68240, strokes: 125 / 500
iteration step 116, G_loss: 0.22904, step_psnr: 8.78713, strokes: 125 / 500
iteration step 117, G_loss: 0.22535, step_psnr: 8.88843, strokes: 125 / 500
iteration step 118, G_loss: 0.22184, step_psnr: 8.99062, strokes: 125 / 500
iteration step 119, G_loss: 0.21845, step_psnr: 9.08825, strokes: 125 / 500
iteration step 120, G_loss: 0.21515, step_psnr: 9.18810, strokes: 125 / 500
iteration step 121, G_loss: 0.21186, step_psnr: 9.28919, strokes: 125 / 500
iteration step 122, G_loss: 0.20866, step_psnr: 9.39182, strokes: 125 / 500
iteration step 123, G_loss: 0.20544, step_psnr: 9.48763, strokes: 125 / 500
iteration step 124, G_loss: 0.20241, step_psnr: 9.59029, strokes: 125 / 500
iteration step 125, G_loss: 0.19933, step_psnr: 9.96866, strokes: 150 / 500
iteration step 126, G_loss: 0.18959, step_psnr: 10.17864, strokes: 150 / 500
iteration step 127, G_loss: 0.18400, step_psnr: 10.37180, strokes: 150 / 500
iteration step 128, G_loss: 0.17931, step_psnr: 10.54374, strokes: 150 / 500
iteration step 129, G_loss: 0.17506, step_psnr: 10.70593, strokes: 150 / 500
iteration step 130, G_loss: 0.17128, step_psnr: 10.86192, strokes: 150 / 500
iteration step 131, G_loss: 0.16775, step_psnr: 11.01237, strokes: 150 / 500
iteration step 132, G_loss: 0.16436, step_psnr: 11.15738, strokes: 150 / 500
iteration step 133, G_loss: 0.16121, step_psnr: 11.29281, strokes: 150 / 500
