initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 77, G_loss: 0.34194, step_psnr: 6.82486, strokes: 100 / 500
iteration step 78, G_loss: 0.33667, step_psnr: 6.90152, strokes: 100 / 500
iteration step 79, G_loss: 0.33188, step_psnr: 6.97772, strokes: 100 / 500
iteration step 80, G_loss: 0.32729, step_psnr: 7.05196, strokes: 100 / 500
iteration step 81, G_loss: 0.32283, step_psnr: 7.12364, strokes: 100 / 500
iteration step 82, G_loss: 0.31859, step_psnr: 7.20200, strokes: 100 / 500
iteration step 83, G_loss: 0.31414, step_psnr: 7.27667, strokes: 100 / 500
iteration step 84, G_loss: 0.30989, step_psnr: 7.35101, strokes: 100 / 500
iteration step 85, G_loss: 0.30570, step_psnr: 7.42064, strokes: 100 / 500
iteration step 86, G_loss: 0.30171, step_psnr: 7.49215, strokes: 100 / 500
iteration step 87, G_loss: 0.29780, step_psnr: 7.56351, strokes: 100 / 500
iteration step 88, G_loss: 0.29400, step_psnr: 7.63296, strokes: 100 / 500
iteration step 89, G_loss: 0.29024, step_psnr: 7.70686, strokes: 100 / 500
iteration step 90, G_loss: 0.28649, step_psnr: 7.78085, strokes: 100 / 500
iteration step 91, G_loss: 0.28263, step_psnr: 7.84923, strokes: 100 / 500
iteration step 92, G_loss: 0.27909, step_psnr: 7.91975, strokes: 100 / 500
iteration step 93, G_loss: 0.27555, step_psnr: 7.98851, strokes: 100 / 500
iteration step 94, G_loss: 0.27209, step_psnr: 8.05859, strokes: 100 / 500
iteration step 95, G_loss: 0.26861, step_psnr: 8.12808, strokes: 100 / 500
iteration step 96, G_loss: 0.26522, step_psnr: 8.19384, strokes: 100 / 500
iteration step 97, G_loss: 0.26197, step_psnr: 8.25892, strokes: 100 / 500
iteration step 98, G_loss: 0.25892, step_psnr: 8.32465, strokes: 100 / 500
iteration step 99, G_loss: 0.25585, step_psnr: 8.39062, strokes: 100 / 500
iteration step 100, G_loss: 0.25281, step_psnr: 8.66106, strokes: 125 / 500
iteration step 101, G_loss: 0.24203, step_psnr: 8.79184, strokes: 125 / 500
iteration step 102, G_loss: 0.23670, step_psnr: 8.90875, strokes: 125 / 500
iteration step 103, G_loss: 0.23200, step_psnr: 9.02116, strokes: 125 / 500
iteration step 104, G_loss: 0.22752, step_psnr: 9.13121, strokes: 125 / 500
iteration step 105, G_loss: 0.22329, step_psnr: 9.24234, strokes: 125 / 500
iteration step 106, G_loss: 0.21910, step_psnr: 9.34966, strokes: 125 / 500
iteration step 107, G_loss: 0.21498, step_psnr: 9.45595, strokes: 125 / 500
iteration step 108, G_loss: 0.21108, step_psnr: 9.55677, strokes: 125 / 500
iteration step 109, G_loss: 0.20744, step_psnr: 9.65313, strokes: 125 / 500
iteration step 110, G_loss: 0.20402, step_psnr: 9.74588, strokes: 125 / 500
iteration step 111, G_loss: 0.20080, step_psnr: 9.83797, strokes: 125 / 500
iteration step 112, G_loss: 0.19768, step_psnr: 9.93052, strokes: 125 / 500
iteration step 113, G_loss: 0.19459, step_psnr: 10.03215, strokes: 125 / 500
iteration step 114, G_loss: 0.19130, step_psnr: 10.13111, strokes: 125 / 500
iteration step 115, G_loss: 0.18818, step_psnr: 10.22487, strokes: 125 / 500
iteration step 116, G_loss: 0.18530, step_psnr: 10.31989, strokes: 125 / 500
iteration step 117, G_loss: 0.18243, step_psnr: 10.41847, strokes: 125 / 500
iteration step 118, G_loss: 0.17954, step_psnr: 10.52476, strokes: 125 / 500
iteration step 119, G_loss: 0.17656, step_psnr: 10.62038, strokes: 125 / 500
iteration step 120, G_loss: 0.17381, step_psnr: 10.72022, strokes: 125 / 500
iteration step 121, G_loss: 0.17110, step_psnr: 10.81673, strokes: 125 / 500
iteration step 122, G_loss: 0.16846, step_psnr: 10.91736, strokes: 125 / 500
iteration step 123, G_loss: 0.16576, step_psnr: 11.01043, strokes: 125 / 500
iteration step 124, G_loss: 0.16331, step_psnr: 11.10223, strokes: 125 / 500
iteration step 125, G_loss: 0.16089, step_psnr: 11.40669, strokes: 150 / 500
iteration step 126, G_loss: 0.15412, step_psnr: 11.57229, strokes: 150 / 500
iteration step 127, G_loss: 0.15020, step_psnr: 11.73258, strokes: 150 / 500
iteration step 128, G_loss: 0.14663, step_psnr: 11.88553, strokes: 150 / 500
iteration step 129, G_loss: 0.14334, step_psnr: 12.03353, strokes: 150 / 500
iteration step 130, G_loss: 0.14013, step_psnr: 12.17985, strokes: 150 / 500
iteration step 131, G_loss: 0.13710, step_psnr: 12.32037, strokes: 150 / 500
iteration step 132, G_loss: 0.13424, step_psnr: 12.45306, strokes: 150 / 500
iteration step 133, G_loss: 0.13162, step_psnr: 12.58988, strokes: 150 / 500
iteration step 134, G_loss: 0.12906, step_psnr: 12.72133, strokes: 150 / 500
iteration step 135, G_loss: 0.12667, step_psnr: 12.84869, strokes: 150 / 500
iteration step 136, G_loss: 0.12443, step_psnr: 12.97426, strokes: 150 / 500
iteration step 137, G_loss: 0.12225, step_psnr: 13.09818, strokes: 150 / 500
iteration step 138, G_loss: 0.12013, step_psnr: 13.22334, strokes: 150 / 500
iteration step 139, G_loss: 0.11805, step_psnr: 13.34693, strokes: 150 / 500
iteration step 140, G_loss: 0.11605, step_psnr: 13.46680, strokes: 150 / 500
iteration step 141, G_loss: 0.11413, step_psnr: 13.58118, strokes: 150 / 500
iteration step 142, G_loss: 0.11236, step_psnr: 13.70320, strokes: 150 / 500
iteration step 143, G_loss: 0.11051, step_psnr: 13.81748, strokes: 150 / 500
iteration step 144, G_loss: 0.10887, step_psnr: 13.93283, strokes: 150 / 500
iteration step 145, G_loss: 0.10726, step_psnr: 14.04463, strokes: 150 / 500
iteration step 146, G_loss: 0.10568, step_psnr: 14.15955, strokes: 150 / 500
iteration step 147, G_loss: 0.10414, step_psnr: 14.27336, strokes: 150 / 500
iteration step 148, G_loss: 0.10266, step_psnr: 14.38149, strokes: 150 / 500
iteration step 149, G_loss: 0.10126, step_psnr: 14.47829, strokes: 150 / 500
iteration step 150, G_loss: 0.09998, step_psnr: 14.82207, strokes: 175 / 500
iteration step 151, G_loss: 0.09614, step_psnr: 15.01227, strokes: 175 / 500
iteration step 152, G_loss: 0.09382, step_psnr: 15.19951, strokes: 175 / 500
iteration step 153, G_loss: 0.09176, step_psnr: 15.37371, strokes: 175 / 500
iteration step 154, G_loss: 0.08992, step_psnr: 15.53084, strokes: 175 / 500
