initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 77, G_loss: 0.55461, step_psnr: 3.32595, strokes: 100 / 500
iteration step 78, G_loss: 0.54723, step_psnr: 3.38917, strokes: 100 / 500
iteration step 79, G_loss: 0.54053, step_psnr: 3.45222, strokes: 100 / 500
iteration step 80, G_loss: 0.53392, step_psnr: 3.51459, strokes: 100 / 500
iteration step 81, G_loss: 0.52752, step_psnr: 3.57536, strokes: 100 / 500
iteration step 82, G_loss: 0.52138, step_psnr: 3.63856, strokes: 100 / 500
iteration step 83, G_loss: 0.51504, step_psnr: 3.69774, strokes: 100 / 500
iteration step 84, G_loss: 0.50920, step_psnr: 3.75912, strokes: 100 / 500
iteration step 85, G_loss: 0.50312, step_psnr: 3.81491, strokes: 100 / 500
iteration step 86, G_loss: 0.49776, step_psnr: 3.87317, strokes: 100 / 500
iteration step 87, G_loss: 0.49217, step_psnr: 3.93075, strokes: 100 / 500
iteration step 88, G_loss: 0.48666, step_psnr: 3.98774, strokes: 100 / 500
iteration step 89, G_loss: 0.48130, step_psnr: 4.04437, strokes: 100 / 500
iteration step 90, G_loss: 0.47604, step_psnr: 4.10352, strokes: 100 / 500
iteration step 91, G_loss: 0.47068, step_psnr: 4.16286, strokes: 100 / 500
iteration step 92, G_loss: 0.46538, step_psnr: 4.22357, strokes: 100 / 500
iteration step 93, G_loss: 0.46000, step_psnr: 4.28650, strokes: 100 / 500
iteration step 94, G_loss: 0.45451, step_psnr: 4.34889, strokes: 100 / 500
iteration step 95, G_loss: 0.44914, step_psnr: 4.41162, strokes: 100 / 500
iteration step 96, G_loss: 0.44384, step_psnr: 4.47263, strokes: 100 / 500
iteration step 97, G_loss: 0.43876, step_psnr: 4.53714, strokes: 100 / 500
iteration step 98, G_loss: 0.43341, step_psnr: 4.60278, strokes: 100 / 500
iteration step 99, G_loss: 0.42805, step_psnr: 4.66633, strokes: 100 / 500
iteration step 100, G_loss: 0.42293, step_psnr: 4.87176, strokes: 125 / 500
iteration step 101, G_loss: 0.40821, step_psnr: 4.98706, strokes: 125 / 500
iteration step 102, G_loss: 0.39982, step_psnr: 5.09276, strokes: 125 / 500
iteration step 103, G_loss: 0.39216, step_psnr: 5.19459, strokes: 125 / 500
iteration step 104, G_loss: 0.38493, step_psnr: 5.29281, strokes: 125 / 500
iteration step 105, G_loss: 0.37808, step_psnr: 5.38880, strokes: 125 / 500
iteration step 106, G_loss: 0.37150, step_psnr: 5.48526, strokes: 125 / 500
iteration step 107, G_loss: 0.36506, step_psnr: 5.57932, strokes: 125 / 500
iteration step 108, G_loss: 0.35885, step_psnr: 5.67187, strokes: 125 / 500
iteration step 109, G_loss: 0.35290, step_psnr: 5.76752, strokes: 125 / 500
iteration step 110, G_loss: 0.34687, step_psnr: 5.85962, strokes: 125 / 500
iteration step 111, G_loss: 0.34114, step_psnr: 5.95187, strokes: 125 / 500
iteration step 112, G_loss: 0.33564, step_psnr: 6.04086, strokes: 125 / 500
iteration step 113, G_loss: 0.33028, step_psnr: 6.12877, strokes: 125 / 500
iteration step 114, G_loss: 0.32507, step_psnr: 6.21817, strokes: 125 / 500
iteration step 115, G_loss: 0.31994, step_psnr: 6.30854, strokes: 125 / 500
iteration step 116, G_loss: 0.31492, step_psnr: 6.39997, strokes: 125 / 500
iteration step 117, G_loss: 0.30991, step_psnr: 6.49211, strokes: 125 / 500
iteration step 118, G_loss: 0.30499, step_psnr: 6.58547, strokes: 125 / 500
iteration step 119, G_loss: 0.30009, step_psnr: 6.68121, strokes: 125 / 500
iteration step 120, G_loss: 0.29518, step_psnr: 6.77462, strokes: 125 / 500
iteration step 121, G_loss: 0.29042, step_psnr: 6.87010, strokes: 125 / 500
iteration step 122, G_loss: 0.28568, step_psnr: 6.96404, strokes: 125 / 500
iteration step 123, G_loss: 0.28112, step_psnr: 7.05712, strokes: 125 / 500
iteration step 124, G_loss: 0.27664, step_psnr: 7.14829, strokes: 125 / 500
iteration step 125, G_loss: 0.27235, step_psnr: 7.47279, strokes: 150 / 500
iteration step 126, G_loss: 0.25933, step_psnr: 7.64077, strokes: 150 / 500
iteration step 127, G_loss: 0.25227, step_psnr: 7.79155, strokes: 150 / 500
iteration step 128, G_loss: 0.24615, step_psnr: 7.94077, strokes: 150 / 500
iteration step 129, G_loss: 0.24033, step_psnr: 8.08492, strokes: 150 / 500
iteration step 130, G_loss: 0.23492, step_psnr: 8.22915, strokes: 150 / 500
iteration step 131, G_loss: 0.22954, step_psnr: 8.36786, strokes: 150 / 500
iteration step 132, G_loss: 0.22452, step_psnr: 8.50446, strokes: 150 / 500
iteration step 133, G_loss: 0.21969, step_psnr: 8.63444, strokes: 150 / 500
iteration step 134, G_loss: 0.21517, step_psnr: 8.76680, strokes: 150 / 500
iteration step 135, G_loss: 0.21083, step_psnr: 8.89083, strokes: 150 / 500
iteration step 136, G_loss: 0.20675, step_psnr: 9.01295, strokes: 150 / 500
iteration step 137, G_loss: 0.20290, step_psnr: 9.13110, strokes: 150 / 500
iteration step 138, G_loss: 0.19925, step_psnr: 9.24806, strokes: 150 / 500
iteration step 139, G_loss: 0.19578, step_psnr: 9.36404, strokes: 150 / 500
iteration step 140, G_loss: 0.19241, step_psnr: 9.49079, strokes: 150 / 500
iteration step 141, G_loss: 0.18888, step_psnr: 9.62323, strokes: 150 / 500
iteration step 142, G_loss: 0.18537, step_psnr: 9.74507, strokes: 150 / 500
iteration step 143, G_loss: 0.18211, step_psnr: 9.86526, strokes: 150 / 500
iteration step 144, G_loss: 0.17896, step_psnr: 9.98071, strokes: 150 / 500
iteration step 145, G_loss: 0.17605, step_psnr: 10.09065, strokes: 150 / 500
iteration step 146, G_loss: 0.17336, step_psnr: 10.20105, strokes: 150 / 500
iteration step 147, G_loss: 0.17062, step_psnr: 10.31489, strokes: 150 / 500
iteration step 148, G_loss: 0.16802, step_psnr: 10.42053, strokes: 150 / 500
iteration step 149, G_loss: 0.16552, step_psnr: 10.53148, strokes: 150 / 500
iteration step 150, G_loss: 0.16307, step_psnr: 10.88801, strokes: 175 / 500
iteration step 151, G_loss: 0.15613, step_psnr: 11.06492, strokes: 175 / 500
iteration step 152, G_loss: 0.15253, step_psnr: 11.23229, strokes: 175 / 500
iteration step 153, G_loss: 0.14917, step_psnr: 11.38116, strokes: 175 / 500
iteration step 154, G_loss: 0.14637, step_psnr: 11.53396, strokes: 175 / 500
iteration step 155, G_loss: 0.14346, step_psnr: 11.67767, strokes: 175 / 500
iteration step 156, G_loss: 0.14088, step_psnr: 11.81584, strokes: 175 / 500
iteration step 157, G_loss: 0.13849, step_psnr: 11.94729, strokes: 175 / 500
iteration step 158, G_loss: 0.13624, step_psnr: 12.07460, strokes: 175 / 500
iteration step 159, G_loss: 0.13411, step_psnr: 12.19360, strokes: 175 / 500
iteration step 160, G_loss: 0.13215, step_psnr: 12.30359, strokes: 175 / 500
iteration step 161, G_loss: 0.13035, step_psnr: 12.41049, strokes: 175 / 500
iteration step 162, G_loss: 0.12865, step_psnr: 12.51482, strokes: 175 / 500
iteration step 163, G_loss: 0.12696, step_psnr: 12.62110, strokes: 175 / 500
iteration step 164, G_loss: 0.12538, step_psnr: 12.71960, strokes: 175 / 500
iteration step 165, G_loss: 0.12388, step_psnr: 12.82371, strokes: 175 / 500
iteration step 166, G_loss: 0.12239, step_psnr: 12.92190, strokes: 175 / 500
iteration step 167, G_loss: 0.12102, step_psnr: 13.01529, strokes: 175 / 500
iteration step 168, G_loss: 0.11969, step_psnr: 13.10836, strokes: 175 / 500
iteration step 169, G_loss: 0.11839, step_psnr: 13.19756, strokes: 175 / 500
iteration step 170, G_loss: 0.11717, step_psnr: 13.27991, strokes: 175 / 500
iteration step 171, G_loss: 0.11603, step_psnr: 13.36712, strokes: 175 / 500
iteration step 172, G_loss: 0.11490, step_psnr: 13.44843, strokes: 175 / 500
iteration step 173, G_loss: 0.11385, step_psnr: 13.52180, strokes: 175 / 500
iteration step 174, G_loss: 0.11292, step_psnr: 13.59806, strokes: 175 / 500
iteration step 175, G_loss: 0.11197, step_psnr: 14.03573, strokes: 200 / 500
iteration step 176, G_loss: 0.10792, step_psnr: 14.23606, strokes: 200 / 500
iteration step 177, G_loss: 0.10579, step_psnr: 14.37623, strokes: 200 / 500
iteration step 178, G_loss: 0.10430, step_psnr: 14.51045, strokes: 200 / 500
iteration step 179, G_loss: 0.10296, step_psnr: 14.63542, strokes: 200 / 500
iteration step 180, G_loss: 0.10173, step_psnr: 14.75575, strokes: 200 / 500
iteration step 181, G_loss: 0.10058, step_psnr: 14.85994, strokes: 200 / 500
iteration step 182, G_loss: 0.09956, step_psnr: 14.95362, strokes: 200 / 500
iteration step 183, G_loss: 0.09862, step_psnr: 15.04930, strokes: 200 / 500
iteration step 184, G_loss: 0.09769, step_psnr: 15.13211, strokes: 200 / 500
iteration step 185, G_loss: 0.09688, step_psnr: 15.21208, strokes: 200 / 500
iteration step 186, G_loss: 0.09608, step_psnr: 15.28938, strokes: 200 / 500
iteration step 187, G_loss: 0.09533, step_psnr: 15.36270, strokes: 200 / 500
iteration step 188, G_loss: 0.09464, step_psnr: 15.43828, strokes: 200 / 500
iteration step 189, G_loss: 0.09394, step_psnr: 15.51410, strokes: 200 / 500
iteration step 190, G_loss: 0.09324, step_psnr: 15.59214, strokes: 200 / 500
iteration step 191, G_loss: 0.09256, step_psnr: 15.66327, strokes: 200 / 500
iteration step 192, G_loss: 0.09193, step_psnr: 15.72901, strokes: 200 / 500
iteration step 193, G_loss: 0.09135, step_psnr: 15.78570, strokes: 200 / 500
iteration step 194, G_loss: 0.09083, step_psnr: 15.85694, strokes: 200 / 500
iteration step 195, G_loss: 0.09025, step_psnr: 15.92139, strokes: 200 / 500
iteration step 196, G_loss: 0.08970, step_psnr: 15.98188, strokes: 200 / 500
iteration step 197, G_loss: 0.08921, step_psnr: 16.03405, strokes: 200 / 500
iteration step 198, G_loss: 0.08873, step_psnr: 16.09591, strokes: 200 / 500
iteration step 199, G_loss: 0.08824, step_psnr: 16.15857, strokes: 200 / 500
iteration step 200, G_loss: 0.08775, step_psnr: 16.45806, strokes: 225 / 500
iteration step 201, G_loss: 0.08578, step_psnr: 16.58303, strokes: 225 / 500
iteration step 202, G_loss: 0.08479, step_psnr: 16.69844, strokes: 225 / 500
iteration step 203, G_loss: 0.08397, step_psnr: 16.79659, strokes: 225 / 500
iteration step 204, G_loss: 0.08326, step_psnr: 16.89102, strokes: 225 / 500
iteration step 205, G_loss: 0.08262, step_psnr: 16.97408, strokes: 225 / 500
iteration step 206, G_loss: 0.08205, step_psnr: 17.03884, strokes: 225 / 500
iteration step 207, G_loss: 0.08159, step_psnr: 17.12126, strokes: 225 / 500
iteration step 208, G_loss: 0.08104, step_psnr: 17.19421, strokes: 225 / 500
iteration step 209, G_loss: 0.08054, step_psnr: 17.25773, strokes: 225 / 500
iteration step 210, G_loss: 0.08010, step_psnr: 17.31427, strokes: 225 / 500
iteration step 211, G_loss: 0.07968, step_psnr: 17.36189, strokes: 225 / 500
iteration step 212, G_loss: 0.07931, step_psnr: 17.40896, strokes: 225 / 500
iteration step 213, G_loss: 0.07898, step_psnr: 17.45180, strokes: 225 / 500
iteration step 214, G_loss: 0.07865, step_psnr: 17.49424, strokes: 225 / 500
iteration step 215, G_loss: 0.07834, step_psnr: 17.53462, strokes: 225 / 500
iteration step 216, G_loss: 0.07803, step_psnr: 17.57468, strokes: 225 / 500
iteration step 217, G_loss: 0.07774, step_psnr: 17.60858, strokes: 225 / 500
iteration step 218, G_loss: 0.07748, step_psnr: 17.64099, strokes: 225 / 500
iteration step 219, G_loss: 0.07722, step_psnr: 17.67595, strokes: 225 / 500
iteration step 220, G_loss: 0.07697, step_psnr: 17.71181, strokes: 225 / 500
iteration step 221, G_loss: 0.07671, step_psnr: 17.74699, strokes: 225 / 500
iteration step 222, G_loss: 0.07646, step_psnr: 17.78069, strokes: 225 / 500
iteration step 223, G_loss: 0.07622, step_psnr: 17.81313, strokes: 225 / 500
iteration step 224, G_loss: 0.07599, step_psnr: 17.84445, strokes: 225 / 500
iteration step 225, G_loss: 0.07576, step_psnr: 18.05617, strokes: 250 / 500
iteration step 226, G_loss: 0.07472, step_psnr: 18.13240, strokes: 250 / 500
iteration step 227, G_loss: 0.07412, step_psnr: 18.21777, strokes: 250 / 500
iteration step 228, G_loss: 0.07359, step_psnr: 18.27423, strokes: 250 / 500
iteration step 229, G_loss: 0.07318, step_psnr: 18.32265, strokes: 250 / 500
iteration step 230, G_loss: 0.07286, step_psnr: 18.36132, strokes: 250 / 500
iteration step 231, G_loss: 0.07256, step_psnr: 18.41233, strokes: 250 / 500
iteration step 232, G_loss: 0.07227, step_psnr: 18.45161, strokes: 250 / 500
iteration step 233, G_loss: 0.07198, step_psnr: 18.50193, strokes: 250 / 500
iteration step 234, G_loss: 0.07168, step_psnr: 18.54057, strokes: 250 / 500
iteration step 235, G_loss: 0.07143, step_psnr: 18.58845, strokes: 250 / 500
iteration step 236, G_loss: 0.07114, step_psnr: 18.62477, strokes: 250 / 500
